INTERVAL_DATETIME,INTERVAL,INTERVAL_LENGTH,CONSUMPTION,UOM_E
1/05/2022 0:15,1,15,11.86,KWH
1/05/2022 0:30,2,15,11.64,KWH
1/05/2022 0:45,3,15,12.56,KWH
1/05/2022 1:00,4,15,12.5,KWH
1/05/2022 1:15,5,15,11.92,KWH
1/05/2022 1:30,6,15,12.06,KWH
1/05/2022 1:45,7,15,12.32,KWH
1/05/2022 2:00,8,15,11.78,KWH
1/05/2022 2:15,9,15,11.84,KWH
1/05/2022 2:30,10,15,12.3,KWH
1/05/2022 2:45,11,15,11.72,KWH
1/05/2022 3:00,12,15,11.78,KWH
1/05/2022 3:15,13,15,12.24,KWH
1/05/2022 3:30,14,15,11.98,KWH
1/05/2022 3:45,15,15,11.74,KWH
1/05/2022 4:00,16,15,12.4,KWH
1/05/2022 4:15,17,15,12.1,KWH
1/05/2022 4:30,18,15,11.68,KWH
1/05/2022 4:45,19,15,11.98,KWH
1/05/2022 5:00,20,15,12.18,KWH
1/05/2022 5:15,21,15,11.64,KWH
1/05/2022 5:30,22,15,11.78,KWH
1/05/2022 5:45,23,15,12.46,KWH
1/05/2022 6:00,24,15,12.12,KWH
1/05/2022 6:15,25,15,15.9,KWH
1/05/2022 6:30,26,15,13.38,KWH
1/05/2022 6:45,27,15,12.52,KWH
1/05/2022 7:00,28,15,12.26,KWH
1/05/2022 7:15,29,15,12.58,KWH
1/05/2022 7:30,30,15,12.64,KWH
1/05/2022 7:45,31,15,12.28,KWH
1/05/2022 8:00,32,15,12.64,KWH
1/05/2022 8:15,33,15,13.06,KWH
1/05/2022 8:30,34,15,12.44,KWH
1/05/2022 8:45,35,15,12.3,KWH
1/05/2022 9:00,36,15,12.78,KWH
1/05/2022 9:15,37,15,12.32,KWH
1/05/2022 9:30,38,15,12.2,KWH
1/05/2022 9:45,39,15,12.74,KWH
1/05/2022 10:00,40,15,12.9,KWH
1/05/2022 10:15,41,15,12.52,KWH
1/05/2022 10:30,42,15,12.6,KWH
1/05/2022 10:45,43,15,12.56,KWH
1/05/2022 11:00,44,15,12.26,KWH
1/05/2022 11:15,45,15,12.44,KWH
1/05/2022 11:30,46,15,12.74,KWH
1/05/2022 11:45,47,15,12.86,KWH
1/05/2022 12:00,48,15,12.42,KWH
1/05/2022 12:15,49,15,12.8,KWH
1/05/2022 12:30,50,15,12.46,KWH
1/05/2022 12:45,51,15,12.32,KWH
1/05/2022 13:00,52,15,12.9,KWH
1/05/2022 13:15,53,15,14.22,KWH
1/05/2022 13:30,54,15,13.18,KWH
1/05/2022 13:45,55,15,13.02,KWH
1/05/2022 14:00,56,15,12.88,KWH
1/05/2022 14:15,57,15,12.86,KWH
1/05/2022 14:30,58,15,12.28,KWH
1/05/2022 14:45,59,15,12.62,KWH
1/05/2022 15:00,60,15,12.86,KWH
1/05/2022 15:15,61,15,12.36,KWH
1/05/2022 15:30,62,15,12.74,KWH
1/05/2022 15:45,63,15,12.82,KWH
1/05/2022 16:00,64,15,12.42,KWH
1/05/2022 16:15,65,15,12.66,KWH
1/05/2022 16:30,66,15,13.08,KWH
1/05/2022 16:45,67,15,12.5,KWH
1/05/2022 17:00,68,15,12.26,KWH
